Episode,Time,Blocks placed,Final Score
799,1.2860004901885986,21,1160
800,1.188436508178711,21,1308
801,1.4132320880889893,21,1430
802,1.0689992904663086,21,1296
803,1.0019984245300293,21,1364
804,1.2800004482269287,21,1110
805,0.9599978923797607,21,1456
806,1.320004940032959,21,1228
807,1.1238155364990234,21,1306
808,1.5330002307891846,20,988
809,1.3030200004577637,21,1250
810,1.1310267448425293,21,1190
811,1.2529995441436768,21,1036
812,1.3505382537841797,21,1224
813,1.518460750579834,21,1242
814,1.2449920177459717,21,1260
815,1.3740088939666748,21,1240
816,1.446998119354248,21,1278
817,1.3770062923431396,21,1332
818,1.3421556949615479,21,1284
819,1.240999698638916,21,1002
820,1.6010041236877441,20,996
821,1.1929960250854492,21,1160
822,1.3080172538757324,21,1292
823,1.3580060005187988,21,1416
824,1.1169931888580322,21,1402
825,1.1440074443817139,21,1366
826,1.1609926223754883,21,1370
827,1.1645197868347168,21,1178
828,1.1370062828063965,21,1236
829,1.0070042610168457,21,1508
830,1.4720063209533691,21,1036
831,1.2365429401397705,21,1194
832,1.2480125427246094,21,1194
833,1.2015342712402344,21,1338
834,1.3409957885742188,21,1256
835,1.3880131244659424,21,1016
836,1.0690035820007324,21,1516
837,1.3709981441497803,17,1016
838,1.1540112495422363,21,1262
839,1.1210005283355713,21,1368
840,1.376999855041504,21,1358
841,1.219003438949585,21,1370
842,1.626995325088501,21,1226
843,1.337035894393921,20,1104
844,1.579174280166626,20,1110
845,1.3879964351654053,21,1438
846,1.3275489807128906,21,1242
847,1.2200064659118652,21,1400
848,1.4459929466247559,21,1176
849,1.2710371017456055,21,1250
850,1.2639954090118408,21,1292
851,1.4080088138580322,21,854
852,1.4088261127471924,21,1054
853,1.3785250186920166,21,1258
854,1.4093987941741943,20,1162
855,1.3060004711151123,21,1178
856,1.2229974269866943,21,1228
857,1.158998727798462,21,1130
858,1.146991491317749,21,1302
859,1.2650082111358643,21,1220
860,1.391991376876831,21,1050
861,1.1259937286376953,21,1378
862,1.4980030059814453,21,1410
863,1.3590002059936523,21,1242
864,1.3320086002349854,21,1148
865,1.170996904373169,21,1398
866,1.2999918460845947,21,834
867,1.4585347175598145,21,1182
868,1.3440032005310059,21,1080
869,1.3419709205627441,21,1326
870,0.9970047473907471,21,1520
871,1.148998498916626,21,1272
872,1.4349815845489502,21,1212
873,1.2990167140960693,21,1300
874,1.1293673515319824,21,1370
875,1.442002534866333,21,1104
876,1.2485263347625732,21,1130
877,1.3189969062805176,21,1274
878,1.227987289428711,21,1230
879,1.4499969482421875,21,1126
880,1.289001703262329,21,1236
881,1.4320051670074463,21,1094
